Time(s),Chamber Pressure(MPa),Thrust(N),Propellant Mass(G1;kg),Mass Flow(G1;kg/s),Regression Depth(G1;m),Nozzle Exit Pressure(MPa)
0,6.58518,0,34.14272,0,0,0.0
0.03,6.58518,12783.77101,34.14272,0.0,0.00018,0.10327
0.06,6.58518,12783.77101,33.98284,5.32924,0.00036,0.10327
0.09,6.58518,12783.77101,33.82297,5.32924,0.00054,0.10327
0.12,6.58518,12783.77101,33.66309,5.32924,0.00072,0.10327
0.15,6.58518,12783.77101,33.50321,5.32924,0.0009,0.10327
0.18,6.58518,12783.77101,33.34333,5.32924,0.00108,0.10327
0.21,6.58518,12783.77101,33.18346,5.32924,0.00126,0.10327
0.24,6.58518,12783.77101,33.02358,5.32924,0.00144,0.10327
0.27,6.58518,12783.77101,32.8637,5.32924,0.00162,0.10327
0.3,6.58518,12783.77101,32.70383,5.32924,0.0018,0.10327
0.33,6.58518,12783.77101,32.54395,5.32924,0.00198,0.10327
0.36,6.58518,12783.77101,32.38407,5.32924,0.00216,0.10327
0.39,6.58518,12783.77101,32.22419,5.32924,0.00234,0.10327
0.42,6.58518,12783.77101,32.06432,5.32924,0.00252,0.10327
0.45,6.58518,12783.77101,31.90444,5.32924,0.0027,0.10327
0.48,6.58518,12783.77101,31.74456,5.32924,0.00288,0.10327
0.51,6.58518,12783.77101,31.58469,5.32924,0.00306,0.10327
0.54,6.58518,12783.77101,31.42481,5.32924,0.00324,0.10327
0.57,6.58518,12783.77101,31.26493,5.32924,0.00342,0.10327
0.6,6.58518,12783.77101,31.10505,5.32924,0.0036,0.10327
0.63,6.58518,12783.77101,30.94518,5.32924,0.00378,0.10327
0.66,6.58518,12783.77101,30.7853,5.32924,0.00396,0.10327
0.69,6.58518,12783.77101,30.62542,5.32924,0.00414,0.10327
0.72,6.58518,12783.77101,30.46555,5.32924,0.00432,0.10327
0.75,6.58518,12783.77101,30.30567,5.32924,0.0045,0.10327
0.78,6.58518,12783.77101,30.14579,5.32924,0.00468,0.10327
0.81,6.58518,12783.77101,29.98591,5.32924,0.00486,0.10327
0.84,6.58518,12783.77101,29.82604,5.32924,0.00504,0.10327
0.87,6.58518,12783.77101,29.66616,5.32924,0.00522,0.10327
0.9,6.58518,12783.77101,29.50628,5.32924,0.0054,0.10327
0.93,6.58518,12783.77101,29.3464,5.32924,0.00558,0.10327
0.96,6.58518,12783.77101,29.18653,5.32924,0.00576,0.10327
0.99,6.58518,12783.77101,29.02665,5.32924,0.00594,0.10327
1.02,6.58518,12783.77101,28.86677,5.32924,0.00612,0.10327
1.05,6.58518,12783.77101,28.7069,5.32924,0.0063,0.10327
1.08,6.58518,12783.77101,28.54702,5.32924,0.00648,0.10327
1.11,6.58518,12783.77101,28.38714,5.32924,0.00666,0.10327
1.14,6.58518,12783.77101,28.22726,5.32924,0.00684,0.10327
1.17,6.58518,12783.77101,28.06739,5.32924,0.00702,0.10327
1.2,6.58518,12783.77101,27.90751,5.32924,0.0072,0.10327
1.23,6.58518,12783.77101,27.74763,5.32924,0.00738,0.10327
1.26,6.58518,12783.77101,27.58776,5.32924,0.00756,0.10327
1.29,6.58518,12783.77101,27.42788,5.32924,0.00774,0.10327
1.32,6.58518,12783.77101,27.268,5.32924,0.00792,0.10327
1.35,6.58518,12783.77101,27.10812,5.32924,0.0081,0.10327
1.38,6.58518,12783.77101,26.94825,5.32924,0.00828,0.10327
1.41,6.58518,12783.77101,26.78837,5.32924,0.00846,0.10327
1.44,6.58518,12783.77101,26.62849,5.32924,0.00863,0.10327
1.47,6.58518,12783.77101,26.46862,5.32924,0.00881,0.10327
1.5,6.58518,12783.77101,26.30874,5.32924,0.00899,0.10327
1.53,6.58518,12783.77101,26.14886,5.32924,0.00917,0.10327
1.56,6.58518,12783.77101,25.98898,5.32924,0.00935,0.10327
1.59,6.58518,12783.77101,25.82911,5.32924,0.00953,0.10327
1.62,6.58518,12783.77101,25.66923,5.32924,0.00971,0.10327
1.65,6.58518,12783.77101,25.50935,5.32924,0.00989,0.10327
1.68,6.58518,12783.77101,25.34948,5.32924,0.01007,0.10327
1.71,6.58518,12783.77101,25.1896,5.32924,0.01025,0.10327
1.74,6.58518,12783.77101,25.02972,5.32924,0.01043,0.10327
1.77,6.58518,12783.77101,24.86984,5.32924,0.01061,0.10327
1.8,6.58518,12783.77101,24.70997,5.32924,0.01079,0.10327
1.83,6.58518,12783.77101,24.55009,5.32924,0.01097,0.10327
1.86,6.58518,12783.77101,24.39021,5.32924,0.01115,0.10327
1.89,6.58518,12783.77101,24.23034,5.32924,0.01133,0.10327
1.92,6.58518,12783.77101,24.07046,5.32924,0.01151,0.10327
1.95,6.58518,12783.77101,23.91058,5.32924,0.01169,0.10327
1.98,6.58518,12783.77101,23.7507,5.32924,0.01187,0.10327
2.01,6.58518,12783.77101,23.59083,5.32924,0.01205,0.10327
2.04,6.58518,12783.77101,23.43095,5.32924,0.01223,0.10327
2.07,6.58518,12783.77101,23.27107,5.32924,0.01241,0.10327
2.1,6.58518,12783.77101,23.1112,5.32924,0.01259,0.10327
2.13,6.58518,12783.77101,22.95132,5.32924,0.01277,0.10327
2.16,6.58518,12783.77101,22.79144,5.32924,0.01295,0.10327
2.19,6.58518,12783.77101,22.63156,5.32924,0.01313,0.10327
2.22,6.58518,12783.77101,22.47169,5.32924,0.01331,0.10327
2.25,6.58518,12783.77101,22.31181,5.32924,0.01349,0.10327
2.28,6.58518,12783.77101,22.15193,5.32924,0.01367,0.10327
2.31,6.58518,12783.77101,21.99205,5.32924,0.01385,0.10327
2.34,6.58518,12783.77101,21.83218,5.32924,0.01403,0.10327
2.37,6.58518,12783.77101,21.6723,5.32924,0.01421,0.10327
2.4,6.58518,12783.77101,21.51242,5.32924,0.01439,0.10327
2.43,6.58518,12783.77101,21.35255,5.32924,0.01457,0.10327
2.46,6.58518,12783.77101,21.19267,5.32924,0.01475,0.10327
2.49,6.58518,12783.77101,21.03279,5.32924,0.01493,0.10327
2.52,6.58518,12783.77101,20.87291,5.32924,0.01511,0.10327
2.55,6.58518,12783.77101,20.71304,5.32924,0.01529,0.10327
2.58,6.58518,12783.77101,20.55316,5.32924,0.01547,0.10327
2.61,6.58518,12783.77101,20.39328,5.32924,0.01565,0.10327
2.64,6.58518,12783.77101,20.23341,5.32924,0.01583,0.10327
2.67,6.58518,12783.77101,20.07353,5.32924,0.01601,0.10327
2.7,6.58518,12783.77101,19.91365,5.32924,0.01619,0.10327
2.73,6.58518,12783.77101,19.75377,5.32924,0.01637,0.10327
2.76,6.58518,12783.77101,19.5939,5.32924,0.01655,0.10327
2.79,6.58518,12783.77101,19.43402,5.32924,0.01673,0.10327
2.82,6.58518,12783.77101,19.27414,5.32924,0.01691,0.10327
2.85,6.58518,12783.77101,19.11427,5.32924,0.01709,0.10327
2.88,6.58518,12783.77101,18.95439,5.32924,0.01727,0.10327
2.91,6.58518,12783.77101,18.79451,5.32924,0.01745,0.10327
2.94,6.58518,12783.77101,18.63463,5.32924,0.01763,0.10327
2.97,6.58518,12783.77101,18.47476,5.32924,0.01781,0.10327
3.0,6.58518,12783.77101,18.31488,5.32924,0.01799,0.10327
3.03,6.58518,12783.77101,18.155,5.32924,0.01817,0.10327
3.06,6.58518,12783.77101,17.99513,5.32924,0.01835,0.10327
3.09,6.58518,12783.77101,17.83525,5.32924,0.01853,0.10327
3.12,6.58518,12783.77101,17.67537,5.32924,0.01871,0.10327
3.15,6.58518,12783.77101,17.51549,5.32924,0.01889,0.10327
3.18,6.58518,12783.77101,17.35562,5.32924,0.01907,0.10327
3.21,6.58518,12783.77101,17.19574,5.32924,0.01925,0.10327
3.24,6.58518,12783.77101,17.03586,5.32924,0.01943,0.10327
3.27,6.58518,12783.77101,16.87599,5.32924,0.01961,0.10327
3.3,6.58518,12783.77101,16.71611,5.32924,0.01979,0.10327
3.33,6.58518,12783.77101,16.55623,5.32924,0.01997,0.10327
3.36,6.58518,12783.77101,16.39635,5.32924,0.02015,0.10327
3.39,6.58518,12783.77101,16.23648,5.32924,0.02033,0.10327
3.42,6.58518,12783.77101,16.0766,5.32924,0.02051,0.10327
3.45,6.58518,12783.77101,15.91672,5.32924,0.02069,0.10327
3.48,6.58518,12783.77101,15.75685,5.32924,0.02087,0.10327
3.51,6.58518,12783.77101,15.59697,5.32924,0.02105,0.10327
3.54,6.58518,12783.77101,15.43709,5.32924,0.02123,0.10327
3.57,6.58518,12783.77101,15.27721,5.32924,0.02141,0.10327
3.6,6.58518,12783.77101,15.11734,5.32924,0.02159,0.10327
3.63,6.58518,12783.77101,14.95746,5.32924,0.02177,0.10327
3.66,6.58518,12783.77101,14.79758,5.32924,0.02195,0.10327
3.69,6.58518,12783.77101,14.6377,5.32924,0.02213,0.10327
3.72,6.58518,12783.77101,14.47783,5.32924,0.02231,0.10327
3.75,6.58518,12783.77101,14.31795,5.32924,0.02249,0.10327
3.78,6.58518,12783.77101,14.15807,5.32924,0.02267,0.10327
3.81,6.58518,12783.77101,13.9982,5.32924,0.02285,0.10327
3.84,6.58518,12783.77101,13.83832,5.32924,0.02303,0.10327
3.87,6.58518,12783.77101,13.67844,5.32924,0.02321,0.10327
3.9,6.58518,12783.77101,13.51856,5.32924,0.02339,0.10327
3.93,6.58518,12783.77101,13.35869,5.32924,0.02357,0.10327
3.96,6.58518,12783.77101,13.19881,5.32924,0.02375,0.10327
3.99,6.58518,12783.77101,13.03893,5.32924,0.02393,0.10327
4.02,6.58518,12783.77101,12.87906,5.32924,0.02411,0.10327
4.05,6.58518,12783.77101,12.71918,5.32924,0.02429,0.10327
4.08,6.58518,12783.77101,12.5593,5.32924,0.02447,0.10327
4.11,6.58518,12783.77101,12.39942,5.32924,0.02465,0.10327
4.14,6.58518,12783.77101,12.23955,5.32924,0.02483,0.10327
4.17,6.58518,12783.77101,12.07967,5.32924,0.02501,0.10327
4.2,6.58518,12783.77101,11.91979,5.32924,0.02519,0.10327
4.23,6.58518,12783.77101,11.75992,5.32924,0.02537,0.10327
4.26,6.58518,12783.77101,11.60004,5.32924,0.02554,0.10327
4.29,6.58518,12783.77101,11.44016,5.32924,0.02572,0.10327
4.32,6.58518,12783.77101,11.28028,5.32924,0.0259,0.10327
4.35,6.58518,12783.77101,11.12041,5.32924,0.02608,0.10327
4.38,6.58518,12783.77101,10.96053,5.32924,0.02626,0.10327
4.41,6.58518,12783.77101,10.80065,5.32924,0.02644,0.10327
4.44,6.58518,12783.77101,10.64078,5.32924,0.02662,0.10327
4.47,6.58518,12783.77101,10.4809,5.32924,0.0268,0.10327
