Time(s),Chamber Pressure(MPa),Thrust(N),Propellant Mass(G1;kg),Mass Flow(G1;kg/s),Regression Depth(G1;m),Nozzle Exit Pressure(MPa)
0,0.64605,0,1.07935,0,0,0.0
0.03,0.65112,61.81632,1.07935,0.0,8e-05,0.01496
0.06,0.65622,62.96171,1.0774,0.06512,0.00017,0.01508
0.09,0.66135,64.11297,1.07543,0.06563,0.00025,0.0152
0.12,0.6665,65.27009,1.07344,0.06615,0.00034,0.01531
0.15,0.67167,66.4331,1.07144,0.06666,0.00042,0.01543
0.18,0.67688,67.60202,1.06943,0.06718,0.00051,0.01555
0.21,0.68211,68.77685,1.0674,0.0677,0.00059,0.01567
0.24,0.68736,69.9576,1.06535,0.06823,0.00068,0.01579
0.27,0.69264,71.14431,1.06329,0.06875,0.00076,0.01592
0.3,0.69795,72.33696,1.06121,0.06928,0.00085,0.01604
0.33,0.70329,73.53559,1.05912,0.06981,0.00093,0.01616
0.36,0.70865,74.74021,1.05701,0.07035,0.00102,0.01628
0.39,0.71404,75.95083,1.05488,0.07088,0.00111,0.01641
0.42,0.71945,77.16745,1.05274,0.07142,0.00119,0.01653
0.45,0.72489,78.39011,1.05058,0.07197,0.00128,0.01666
0.48,0.73036,79.61881,1.0484,0.07251,0.00137,0.01678
0.51,0.73586,80.85357,1.04621,0.07306,0.00145,0.01691
0.54,0.74138,82.09439,1.044,0.07361,0.00154,0.01704
0.57,0.74693,83.3413,1.04178,0.07416,0.00163,0.01716
0.6,0.75251,84.59431,1.03954,0.07472,0.00172,0.01729
0.63,0.75811,85.85343,1.03728,0.07528,0.0018,0.01742
0.66,0.76374,87.11868,1.035,0.07584,0.00189,0.01755
0.69,0.7694,88.39007,1.03271,0.07641,0.00198,0.01768
0.72,0.77509,89.66761,1.0304,0.07697,0.00207,0.01781
0.75,0.7808,90.95132,1.02807,0.07754,0.00216,0.01794
0.78,0.78654,92.24121,1.02573,0.07812,0.00225,0.01807
0.81,0.79231,93.5373,1.02337,0.07869,0.00234,0.01821
